분류,제목,날짜_월,날짜_일,분기
건설ㆍ교통,불법 적재물 처리요망2,5,18,2
건설ㆍ교통,동명동 동밖어울림센타 리모델링공사 현장관련 하자민원,5,18,2
건설ㆍ교통,여전한 대각선 주차를 뛰어 넘어 이중주차,5,18,2
건설ㆍ교통,불법 주정차 단속이 문제가 아니네요,5,17,2
건설ㆍ교통,불법 적재물 처리요망,5,17,2
건설ㆍ교통,여전한 대각선 주차 (2),5,16,2
건설ㆍ교통,도로 불법적치물 관련,5,15,2
건설ㆍ교통,개인주택앞 장기간 방치차량 조치요청,5,14,2
건설ㆍ교통,빈집이 허물어지려고해요1,5,14,2
건설ㆍ교통,빈집이 허물어지고 있어요,5,14,2
건설ㆍ교통,교통사고 유발 위험 인도 불법 적치물,5,14,2
건설ㆍ교통,동구청 건축과장님께,5,14,2
건설ㆍ교통,남문로 754번길 아스콘 노후화 포장복구에 대한 물고임 민원 처리 건,5,13,2
건설ㆍ교통,현수막 철거 부탁드립니다,5,13,2
건설ㆍ교통,사망사고 아니여서 다행입니다 (1),5,13,2
건설ㆍ교통,산수동 광신건설 광신프로그레스 아파트 방역수칙위반 공사 신고합니다,5,13,2
건설ㆍ교통,현수막 철거 부탁드립니다,5,12,2
건설ㆍ교통,소상공인 죽이는 민원 신청 하는 사람 보시오.,5,12,2
건설ㆍ교통,소상공인 죽이는 민원 신청 하는 사람 보시오.,5,12,2
건설ㆍ교통,인도 차량 규제봉 및 보도블럭 파손,5,12,2
건설ㆍ교통,횡단보도옆 햇빛차광 대형 양산~~,5,12,2
건설ㆍ교통,불법현수막 철거요청,5,11,2
건설ㆍ교통,교통 불편-불법주차단속 요청,5,10,2
